id	date	value
10s10w	1999-09-09	23.66
10s10w	1999-09-10	23.7
10s10w	1999-09-11	23.75
10s10w	1999-09-12	23.7
10s10w	1999-09-13	23.68
10s10w	1999-09-14	23.74
10s10w	1999-09-15	23.75
10s10w	1999-09-16	23.74
10s10w	1999-09-17	23.72
10s10w	1999-09-18	23.71
10s10w	1999-09-19	23.67
10s10w	1999-09-20	23.7
10s10w	1999-09-21	23.77
10s10w	1999-09-22	23.78
10s10w	1999-09-23	23.79
10s10w	1999-09-24	23.84
10s10w	1999-09-25	23.88
10s10w	1999-09-26	23.89
10s10w	1999-09-27	23.92
10s10w	1999-09-28	23.93
10s10w	1999-09-29	23.93
10s10w	1999-09-30	23.87
10s10w	1999-10-01	23.85
10s10w	1999-10-02	23.79
10s10w	1999-10-03	23.83
10s10w	1999-10-04	23.96
10s10w	1999-10-05	24
10s10w	1999-10-06	24.09
10s10w	1999-10-07	24.18
10s10w	1999-10-08	24.13
10s10w	1999-10-09	24.19
10s10w	1999-10-10	24.2
10s10w	1999-10-11	24.19
10s10w	1999-10-12	24.22
10s10w	1999-10-13	24.26
10s10w	1999-10-14	24.22
10s10w	1999-10-15	24.16
10s10w	1999-10-16	24.17
10s10w	1999-10-17	24.14
10s10w	1999-10-18	24.03
10s10w	1999-10-19	23.72
10s10w	1999-10-20	23.64
10s10w	1999-10-21	23.68
10s10w	1999-10-22	23.75
10s10w	1999-10-23	23.83
10s10w	1999-10-24	23.83
10s10w	1999-10-25	23.87
10s10w	1999-10-26	23.87
10s10w	1999-10-27	23.91
10s10w	1999-10-28	23.98
10s10w	1999-10-29	23.79
10s10w	1999-10-30	23.75
10s10w	1999-10-31	23.7
10s10w	1999-11-01	23.73
10s10w	1999-11-02	23.81
10s10w	1999-11-03	23.77
10s10w	1999-11-04	23.71
10s10w	1999-11-05	24.03
10s10w	1999-11-06	24.08
10s10w	1999-11-07	24.08
10s10w	1999-11-08	24.11
10s10w	1999-11-09	24.12
10s10w	1999-11-10	24.15
10s10w	1999-11-11	24.11
10s10w	1999-11-12	24.02
10s10w	1999-11-13	24.01
10s10w	1999-11-14	24.02
10s10w	1999-11-15	24.06
10s10w	1999-11-16	24.18
10s10w	1999-11-17	24.29
10s10w	1999-11-18	24.29
10s10w	1999-11-19	24.24
10s10w	1999-11-20	24.22
10s10w	1999-11-21	24.21
10s10w	1999-11-22	24.23
10s10w	1999-11-23	24.28
10s10w	1999-11-24	24.35
10s10w	1999-11-25	24.43
10s10w	1999-11-26	24.43
10s10w	1999-11-27	24.45
10s10w	1999-11-28	24.51
10s10w	1999-11-29	24.55
10s10w	1999-11-30	24.52
10s10w	1999-12-01	24.48
10s10w	1999-12-02	24.47
10s10w	1999-12-03	24.41
10s10w	1999-12-04	24.41
10s10w	1999-12-05	24.45
10s10w	1999-12-06	24.44
10s10w	1999-12-07	24.48
10s10w	1999-12-08	24.49
10s10w	1999-12-09	24.45
10s10w	1999-12-10	24.53
10s10w	1999-12-11	24.56
10s10w	1999-12-12	24.55
10s10w	1999-12-13	24.57
10s10w	1999-12-14	24.55
10s10w	1999-12-15	24.6
10s10w	1999-12-16	24.66
10s10w	1999-12-17	24.71
10s10w	1999-12-18	24.71
10s10w	1999-12-19	24.71
10s10w	1999-12-20	24.74
10s10w	1999-12-21	24.72
10s10w	1999-12-22	24.7
10s10w	1999-12-23	24.71
10s10w	1999-12-24	24.73
10s10w	1999-12-25	24.74
10s10w	1999-12-26	24.82
10s10w	1999-12-27	24.84
10s10w	1999-12-28	24.82
10s10w	1999-12-29	24.78
10s10w	1999-12-30	24.75
10s10w	1999-12-31	24.78
10s10w	2000-01-01	24.77
10s10w	2000-01-02	24.78
10s10w	2000-01-03	24.81
10s10w	2000-01-04	24.82
10s10w	2000-01-05	24.8
10s10w	2000-01-06	24.8
10s10w	2000-01-07	24.86
10s10w	2000-01-08	24.88
10s10w	2000-01-09	24.92
10s10w	2000-01-10	24.96
10s10w	2000-01-11	25.1
10s10w	2000-01-12	25.14
10s10w	2000-01-13	25.19
10s10w	2000-01-14	25.22
10s10w	2000-01-15	25.24
10s10w	2000-01-16	25.29
10s10w	2000-01-17	25.31
10s10w	2000-01-18	25.35
10s10w	2000-01-19	25.39
10s10w	2000-01-20	25.48
10s10w	2000-01-21	25.37
10s10w	2000-01-22	25.4
10s10w	2000-01-23	25.46
10s10w	2000-01-24	25.4
10s10w	2000-01-25	25.54
10s10w	2000-01-26	25.58
