id	date	value
4n23w	2007-05-10	28.71
4n23w	2007-05-11	28.68
4n23w	2007-05-12	28.64
4n23w	2007-05-13	28.59
4n23w	2007-05-14	28.77
4n23w	2007-05-15	28.69
4n23w	2007-05-16	28.77
4n23w	2007-05-17	28.81
4n23w	2007-05-18	28.78
4n23w	2007-05-19	28.54
4n23w	2007-05-20	28.12
4n23w	2007-05-21	28.46
4n23w	2007-05-22	28.71
4n23w	2007-05-23	28.55
4n23w	2007-05-24	28.38
4n23w	2007-05-25	28.25
4n23w	2007-05-26	27.94
4n23w	2007-05-27	28.18
4n23w	2007-05-28	28.51
4n23w	2007-05-29	28.44
4n23w	2007-05-30	28.11
4n23w	2007-05-31	28.46
4n23w	2007-06-01	28.6
4n23w	2007-06-02	28.65
4n23w	2007-06-03	28.68
4n23w	2007-06-04	28.65
4n23w	2007-06-05	28.59
4n23w	2007-06-06	28.49
4n23w	2007-06-07	28.56
4n23w	2007-06-08	28.53
4n23w	2007-06-09	28.58
4n23w	2007-06-10	28.74
4n23w	2007-06-11	28.65
4n23w	2007-06-12	28.53
4n23w	2007-06-13	28.5
4n23w	2007-06-14	28.54
4n23w	2007-06-15	28.53
4n23w	2007-06-16	28.5
4n23w	2007-06-17	28.48
4n23w	2007-06-18	28.45
4n23w	2007-06-19	28.46
4n23w	2007-06-20	28.42
4n23w	2007-06-21	28.37
4n23w	2007-06-22	28.35
4n23w	2007-06-23	28.3
4n23w	2007-06-24	28.23
4n23w	2007-06-25	28.19
4n23w	2007-06-26	28.13
4n23w	2007-06-27	28.12
4n23w	2007-06-28	28.14
4n23w	2007-06-29	28.12
4n23w	2007-06-30	28.14
4n23w	2007-07-01	28.16
4n23w	2007-07-02	28.16
4n23w	2007-07-03	28.14
4n23w	2007-07-04	28.16
4n23w	2007-07-05	28.15
4n23w	2007-07-06	28.17
4n23w	2007-07-07	28.21
4n23w	2007-07-08	28.2
4n23w	2007-07-09	28.21
4n23w	2007-07-10	28.16
4n23w	2007-07-11	28.12
4n23w	2007-07-12	28.06
4n23w	2007-07-13	28.04
4n23w	2007-07-14	28.02
4n23w	2007-07-15	27.94
4n23w	2007-07-16	27.76
4n23w	2007-07-17	27.5
4n23w	2007-07-18	27.29
4n23w	2007-07-19	26.59
4n23w	2007-07-20	26.45
4n23w	2007-07-21	26.41
4n23w	2007-07-22	26.49
4n23w	2007-07-23	26.55
4n23w	2007-07-24	26.54
4n23w	2007-07-25	26.51
4n23w	2007-07-26	26.47
4n23w	2007-07-27	26.42
4n23w	2007-07-28	26.38
4n23w	2007-07-29	26.35
4n23w	2007-07-30	26.37
4n23w	2007-07-31	26.38
4n23w	2007-08-01	26.37
4n23w	2007-08-02	27.05
4n23w	2007-08-03	27.59
4n23w	2007-08-04	27.72
4n23w	2007-08-05	27.74
4n23w	2007-08-06	27.67
4n23w	2007-08-07	27.6
4n23w	2007-08-08	27.57
4n23w	2007-08-09	27.57
4n23w	2007-08-10	27.56
4n23w	2007-08-11	27.48
4n23w	2007-08-12	27.4
4n23w	2007-08-13	27.31
4n23w	2007-08-14	27.42
4n23w	2007-08-15	27.37
4n23w	2007-08-16	27.34
4n23w	2007-08-17	27.28
4n23w	2007-08-18	27.24
4n23w	2007-08-19	27.19
4n23w	2007-08-20	27.19
4n23w	2007-08-21	27.19
4n23w	2007-08-22	27.17
4n23w	2007-08-23	27.17
4n23w	2007-08-24	27.29
4n23w	2007-08-25	27.28
4n23w	2007-08-26	27.31
4n23w	2007-08-27	27.28
4n23w	2007-08-28	27.27
4n23w	2007-08-29	27.31
4n23w	2007-08-30	27.45
4n23w	2007-08-31	27.47
4n23w	2007-09-01	27.46
4n23w	2007-09-02	27.4
4n23w	2007-09-03	27.44
4n23w	2007-09-04	27.36
4n23w	2007-09-05	27.46
4n23w	2007-09-06	27.52
4n23w	2007-09-07	27.54
4n23w	2007-09-08	27.58
4n23w	2007-09-09	27.63
4n23w	2007-09-10	27.64
4n23w	2007-09-11	27.67
4n23w	2007-09-12	27.53
4n23w	2007-09-13	27.59
4n23w	2007-09-14	27.59
4n23w	2007-09-15	27.6
4n23w	2007-09-16	27.66
4n23w	2007-09-17	27.69
4n23w	2007-09-18	27.71
4n23w	2007-09-19	27.78
4n23w	2007-09-20	27.78
4n23w	2007-09-21	27.82
4n23w	2007-09-22	27.59
4n23w	2007-09-23	27.65
4n23w	2007-09-24	27.71
4n23w	2007-09-25	27.59
4n23w	2007-09-26	27.81
4n23w	2007-09-27	27.84
4n23w	2007-09-28	27.77
4n23w	2007-09-29	27.73
4n23w	2007-09-30	27.85
4n23w	2007-10-01	27.87
4n23w	2007-10-02	28.15
4n23w	2007-10-03	28.09
4n23w	2007-10-04	27.83
4n23w	2007-10-05	28.1
4n23w	2007-10-06	28.24
4n23w	2007-10-07	28.09
4n23w	2007-10-08	27.97
4n23w	2007-10-09	27.88
4n23w	2007-10-10	27.85
4n23w	2007-10-11	27.71
4n23w	2007-10-12	27.78
4n23w	2007-10-13	27.86
4n23w	2007-10-14	27.71
4n23w	2007-10-15	27.7
4n23w	2007-10-16	27.66
4n23w	2007-10-17	27.7
4n23w	2007-10-18	27.87
4n23w	2007-10-19	27.86
4n23w	2007-10-20	28.16
4n23w	2007-10-21	28.25
4n23w	2007-10-22	28.46
4n23w	2007-10-23	28.2
4n23w	2007-10-24	28.09
